,Latitude,Longitude,Total Capacity (MW),Annual,,First Yr Annual (MWh)
203,46.51,-67.59,0.005,4.18,,6.35
1197,60,-111.88,0.005,4.13,,6.03
3744,46.57,-63.92,0.005,4.12,,6.59
2163,45.54,-75.41,0.005,4.37,,6.82
826,46.03,-65.86,0.005,4.23,,6.72
3012,50.75,-112.08,0.005,4.93,,6.51
1903,50.88,-99.56,0.005,4.76,,6.78
446,45.68,-76.61,0.005,4.4,,6.78
2902,50.07,-110.78,0.005,4.98,,6.74
893,53.36,-113.72,0.005,4.53,,6.17
736,49.63,-114.5,0.005,4.56,,6.51
859,46.05,-77.41,0.005,4.36,,6.77
2337,46.11,-74.6,0.005,4.37,,6.81
3170,47.56,-70.4,0.005,4.12,,6.49
3155,46.16,-73.43,0.005,4.33,,6.8
13,50.65,-120.36,0.005,4.89,,6.46
1142,44.97,-81.28,0.005,3.84,,6.6
4052,49.51,-112.17,0.005,4.9,,6.98
3265,48.67,-53.66,0.005,3.45,,5.85
2661,51.3,-97.56,0.005,4.57,,6.5
1282,55.75,-117.33,0.005,4.35,,5.79
2439,52.45,-106.46,0.005,4.87,,6.32
3393,49.89,-124.6,0.005,3.71,,5.95
3929,45.82,-82.16,0.005,4.29,,6.99
328,45.05,-66.78,0.005,4.1,,6.61
3680,50.45,-111.65,0.005,4.95,,6.62
2673,46.17,-67.52,0.005,4.39,,6.53
1888,48.57,-89.35,0.005,4.47,,6.82
3956,43.93,-78.95,0.005,4.26,,6.85
881,42.92,-81.09,0.005,4.61,,6.8
3345,49.65,-108.41,0.005,4.96,,6.83
448,51.7,-102.75,0.005,4.74,,6.47
3472,53.91,-110.25,0.005,4.58,,6.06
843,51.14,-100.04,0.005,4.76,,6.69
997,48.66,-53.76,0.005,3.48,,5.49
2416,45.9,-74.93,0.005,4.35,,7
2447,48.01,-65.33,0.005,4.21,,6.49
2988,52.45,-112.87,0.005,4.69,,6.19
1370,50.14,-94,0.005,4.51,,6.73
2236,47.43,-53.2,0.005,3.47,,5.76
162,48.71,-67.85,0.005,4.17,,6.52
