Latitude,Longitude,Array Type,Market Pricing,Utility-scale Tariff Applied,First Yr Annual (MWh),Breakeven Price ($/MWh),Reference Price ($/MWh),Total Capacity (MW),Annual
51.64,-121.29,Commercial,Flat,,260.78,117.6,87.21,0.2,4.15
51.64,-121.29,Commercial,Time of use,,260.78,94.75,87.21,0.2,4.15
51.64,-121.29,Community,Flat,,260.78,111.69,87.21,0.2,4.15
51.64,-121.29,Community,Time of use,,260.78,89.98,87.21,0.2,4.15
51.64,-121.29,Residential,Flat,,6.33,152.62,97.75,0.005,4.15
51.64,-121.29,Residential,Time of use,,6.33,126.43,97.75,0.005,4.15
51.64,-121.29,Utility Fixed,Flat,No Tariff,65197.35,92.44,47.71,50,4.15
51.64,-121.29,Utility Fixed,Flat,Tariff,65197.35,119.11,47.71,50,4.15
51.64,-121.29,Utility Fixed,Time of use,No Tariff,65197.35,74.47,47.71,50,4.15
51.64,-121.29,Utility Fixed,Time of use,Tariff,65197.35,95.96,47.71,50,4.15
51.64,-121.29,Utility Tracker,Flat,No Tariff,79938.13,80.73,47.71,50,4.15
51.64,-121.29,Utility Tracker,Flat,Tariff,79938.13,102.46,47.71,50,4.15
51.64,-121.29,Utility Tracker,Time of use,No Tariff,79938.13,65.05,47.71,50,4.15
51.64,-121.29,Utility Tracker,Time of use,Tariff,79938.13,82.57,47.71,50,4.15
51.75,-121.35,Commercial,Flat,,264.93,115.76,87.21,0.2,4.14
51.75,-121.35,Commercial,Time of use,,264.93,93.29,87.21,0.2,4.14
51.75,-121.35,Community,Flat,,264.93,109.94,87.21,0.2,4.14
51.75,-121.35,Community,Time of use,,264.93,88.6,87.21,0.2,4.14
51.75,-121.35,Residential,Flat,,6.45,149.93,97.75,0.005,4.14
51.75,-121.35,Residential,Time of use,,6.45,125.07,97.75,0.005,4.14
51.75,-121.35,Utility Fixed,Flat,No Tariff,66233.61,91.06,47.71,50,4.14
51.75,-121.35,Utility Fixed,Flat,Tariff,66233.61,117.32,47.71,50,4.14
51.75,-121.35,Utility Fixed,Time of use,No Tariff,66233.61,73.39,47.71,50,4.14
51.75,-121.35,Utility Fixed,Time of use,Tariff,66233.61,94.55,47.71,50,4.14
51.75,-121.35,Utility Tracker,Flat,No Tariff,82063.39,78.74,47.71,50,4.14
51.75,-121.35,Utility Tracker,Flat,Tariff,82063.39,99.91,47.71,50,4.14
51.75,-121.35,Utility Tracker,Time of use,No Tariff,82063.39,63.49,47.71,50,4.14
51.75,-121.35,Utility Tracker,Time of use,Tariff,82063.39,80.56,47.71,50,4.14
51.3,-121.4,Commercial,Flat,,255.41,120.07,87.21,0.2,4.16
51.3,-121.4,Commercial,Time of use,,255.41,96.78,87.21,0.2,4.16
51.3,-121.4,Community,Flat,,255.41,114.03,87.21,0.2,4.16
51.3,-121.4,Community,Time of use,,255.41,91.92,87.21,0.2,4.16
51.3,-121.4,Residential,Flat,,6.24,154.93,97.75,0.005,4.16
51.3,-121.4,Residential,Time of use,,6.24,128.8,97.75,0.005,4.16
51.3,-121.4,Utility Fixed,Flat,No Tariff,63854.4,94.3,47.71,50,4.16
51.3,-121.4,Utility Fixed,Flat,Tariff,63854.4,121.54,47.71,50,4.16
51.3,-121.4,Utility Fixed,Time of use,No Tariff,63854.4,76.01,47.71,50,4.16
51.3,-121.4,Utility Fixed,Time of use,Tariff,63854.4,97.97,47.71,50,4.16
51.3,-121.4,Utility Tracker,Flat,No Tariff,78915.62,81.71,47.71,50,4.16
51.3,-121.4,Utility Tracker,Flat,Tariff,78915.62,103.72,47.71,50,4.16
51.3,-121.4,Utility Tracker,Time of use,No Tariff,78915.62,65.89,47.71,50,4.16
51.3,-121.4,Utility Tracker,Time of use,Tariff,78915.62,83.64,47.71,50,4.16
50.73,-108.75,Commercial,Flat,,277.94,112.86,113.05,0.2,4.95
50.73,-108.75,Commercial,Time of use,,277.94,80.13,113.05,0.2,4.95
50.73,-108.75,Community,Flat,,277.94,101.77,113.05,0.2,4.95
50.73,-108.75,Community,Time of use,,277.94,72.26,113.05,0.2,4.95
50.73,-108.75,Residential,Flat,,6.74,147.01,165.82,0.005,4.95
50.73,-108.75,Residential,Time of use,,6.74,97.57,165.82,0.005,4.95
50.73,-108.75,Utility Fixed,Flat,No Tariff,69486.97,86.89,48.43,50,4.95
50.73,-108.75,Utility Fixed,Flat,Tariff,69486.97,116.8,48.43,50,4.95
50.73,-108.75,Utility Fixed,Time of use,No Tariff,69486.97,61.75,48.43,50,4.95
50.73,-108.75,Utility Fixed,Time of use,Tariff,69486.97,83,48.43,50,4.95
50.73,-108.75,Utility Tracker,Flat,No Tariff,86195.53,74.74,48.43,50,4.95
50.73,-108.75,Utility Tracker,Flat,Tariff,86195.53,98.71,48.43,50,4.95
50.73,-108.75,Utility Tracker,Time of use,No Tariff,86195.53,54.63,48.43,50,4.95
50.73,-108.75,Utility Tracker,Time of use,Tariff,86195.53,72.15,48.43,50,4.95
49.05,-122.32,Commercial,Flat,,232.82,147.88,87.21,0.2,3.64
49.05,-122.32,Commercial,Time of use,,232.82,118.86,87.21,0.2,3.64
49.05,-122.32,Community,Flat,,232.82,141.16,87.21,0.2,3.64
49.05,-122.32,Community,Time of use,,232.82,113.45,87.21,0.2,3.64
49.05,-122.32,Residential,Flat,,5.73,183.61,97.75,0.005,3.64
49.05,-122.32,Residential,Time of use,,5.73,152.22,97.75,0.005,3.64
49.05,-122.32,Utility Fixed,Flat,No Tariff,58205.8,118.39,47.71,50,3.64
49.05,-122.32,Utility Fixed,Flat,Tariff,58205.8,149.06,47.71,50,3.64
49.05,-122.32,Utility Fixed,Time of use,No Tariff,58205.8,95.15,47.71,50,3.64
49.05,-122.32,Utility Fixed,Time of use,Tariff,58205.8,119.8,47.71,50,3.64
49.05,-122.32,Utility Tracker,Flat,No Tariff,70941.94,103,47.71,50,3.64
49.05,-122.32,Utility Tracker,Flat,Tariff,70941.94,128.12,47.71,50,3.64
49.05,-122.32,Utility Tracker,Time of use,No Tariff,70941.94,82.81,47.71,50,3.64
49.05,-122.32,Utility Tracker,Time of use,Tariff,70941.94,103.01,47.71,50,3.64
49.05,-122.28,Commercial,Flat,,233.82,147.27,87.21,0.2,3.64
49.05,-122.28,Commercial,Time of use,,233.82,118.52,87.21,0.2,3.64
49.05,-122.28,Community,Flat,,233.82,140.57,87.21,0.2,3.64
49.05,-122.28,Community,Time of use,,233.82,113.13,87.21,0.2,3.64
49.05,-122.28,Residential,Flat,,5.75,182.98,97.75,0.005,3.64
49.05,-122.28,Residential,Time of use,,5.75,151.5,97.75,0.005,3.64
49.05,-122.28,Utility Fixed,Flat,No Tariff,58455.14,117.94,47.71,50,3.64
49.05,-122.28,Utility Fixed,Flat,Tariff,58455.14,148.49,47.71,50,3.64
49.05,-122.28,Utility Fixed,Time of use,No Tariff,58455.14,94.91,47.71,50,3.64
49.05,-122.28,Utility Fixed,Time of use,Tariff,58455.14,119.49,47.71,50,3.64
49.05,-122.28,Utility Tracker,Flat,No Tariff,70922.36,103.06,47.71,50,3.64
49.05,-122.28,Utility Tracker,Flat,Tariff,70922.36,128.2,47.71,50,3.64
49.05,-122.28,Utility Tracker,Time of use,No Tariff,70922.36,82.95,47.71,50,3.64
49.05,-122.28,Utility Tracker,Time of use,Tariff,70922.36,103.19,47.71,50,3.64
45.03,-72.66,Commercial,Flat,,265.56,118.41,85.79,0.2,4.17
45.03,-72.66,Commercial,Time of use,,265.56,95.95,85.79,0.2,4.17
45.03,-72.66,Community,Flat,,265.56,103.44,85.79,0.2,4.17
45.03,-72.66,Community,Time of use,,265.56,83.82,85.79,0.2,4.17
45.03,-72.66,Residential,Flat,,6.54,151.72,67.95,0.005,4.17
45.03,-72.66,Residential,Time of use,,6.54,124.85,67.95,0.005,4.17
45.03,-72.66,Utility Fixed,Flat,No Tariff,66391.81,90.51,32.7,50,4.17
45.03,-72.66,Utility Fixed,Flat,Tariff,66391.81,157.28,32.7,50,4.17
45.03,-72.66,Utility Fixed,Time of use,No Tariff,66391.81,73.34,32.7,50,4.17
45.03,-72.66,Utility Fixed,Time of use,Tariff,66391.81,127.44,32.7,50,4.17
45.03,-72.66,Utility Tracker,Flat,No Tariff,80650.33,79.78,32.7,50,4.17
45.03,-72.66,Utility Tracker,Flat,Tariff,80650.33,134.69,32.7,50,4.17
45.03,-72.66,Utility Tracker,Time of use,No Tariff,80650.33,64.59,32.7,50,4.17
45.03,-72.66,Utility Tracker,Time of use,Tariff,80650.33,109.04,32.7,50,4.17
45.63,-62.69,Commercial,Flat,,265.53,121,127.7,0.2,3.97
45.63,-62.69,Commercial,Time of use,,265.53,106.42,127.7,0.2,3.97
45.63,-62.69,Community,Flat,,265.53,105.59,127.7,0.2,3.97
45.63,-62.69,Community,Time of use,,265.53,92.86,127.7,0.2,3.97
45.63,-62.69,Residential,Flat,,6.54,155.25,142.7,0.005,3.97
45.63,-62.69,Residential,Time of use,,6.54,139.11,142.7,0.005,3.97
45.63,-62.69,Utility Fixed,Flat,No Tariff,66382.6,91.59,80.15,50,3.97
45.63,-62.69,Utility Fixed,Flat,Tariff,66382.6,146.48,80.15,50,3.97
45.63,-62.69,Utility Fixed,Time of use,No Tariff,66382.6,80.56,80.15,50,3.97
45.63,-62.69,Utility Fixed,Time of use,Tariff,66382.6,128.83,80.15,50,3.97
45.63,-62.69,Utility Tracker,Flat,No Tariff,80748.09,80.68,80.15,50,3.97
45.63,-62.69,Utility Tracker,Flat,Tariff,80748.09,125.81,80.15,50,3.97
45.63,-62.69,Utility Tracker,Time of use,No Tariff,80748.09,71.81,80.15,50,3.97
45.63,-62.69,Utility Tracker,Time of use,Tariff,80748.09,111.97,80.15,50,3.97
45.97,-61.05,Commercial,Flat,,233.73,137.42,127.7,0.2,4.89
45.97,-61.05,Commercial,Time of use,,233.73,121.22,127.7,0.2,4.89
45.97,-61.05,Community,Flat,,233.73,119.91,127.7,0.2,4.89
45.97,-61.05,Community,Time of use,,233.73,105.77,127.7,0.2,4.89
45.97,-61.05,Residential,Flat,,5.78,175.65,142.7,0.005,4.89
45.97,-61.05,Residential,Time of use,,5.78,157.29,142.7,0.005,4.89
45.97,-61.05,Utility Fixed,Flat,No Tariff,58432.67,103.45,80.15,50,4.89
45.97,-61.05,Utility Fixed,Flat,Tariff,58432.67,165.74,80.15,50,4.89
45.97,-61.05,Utility Fixed,Time of use,No Tariff,58432.67,91.26,80.15,50,4.89
45.97,-61.05,Utility Fixed,Time of use,Tariff,58432.67,146.21,80.15,50,4.89
45.97,-61.05,Utility Tracker,Flat,No Tariff,70290.46,92.04,80.15,50,4.89
45.97,-61.05,Utility Tracker,Flat,Tariff,70290.46,143.82,80.15,50,4.89
45.97,-61.05,Utility Tracker,Time of use,No Tariff,70290.46,82.15,80.15,50,4.89
45.97,-61.05,Utility Tracker,Time of use,Tariff,70290.46,128.36,80.15,50,4.89
44.21,-80.86,Commercial,Flat,,266.76,119.59,146.51,0.2,4.89
44.21,-80.86,Commercial,Time of use,,266.76,97.32,146.51,0.2,4.89
44.21,-80.86,Community,Flat,,266.76,106.54,146.51,0.2,4.89
44.21,-80.86,Community,Time of use,,266.76,86.71,146.51,0.2,4.89
44.21,-80.86,Residential,Flat,,6.62,150.68,125.93,0.005,4.89
44.21,-80.86,Residential,Time of use,,6.62,123.98,125.93,0.005,4.89
44.21,-80.86,Utility Fixed,Flat,No Tariff,66691.86,92.61,18.64,50,4.89
44.21,-80.86,Utility Fixed,Flat,Tariff,66691.86,94.13,18.64,50,4.89
44.21,-80.86,Utility Fixed,Time of use,No Tariff,66691.86,75.37,18.64,50,4.89
44.21,-80.86,Utility Fixed,Time of use,Tariff,66691.86,76.6,18.64,50,4.89
44.21,-80.86,Utility Tracker,Flat,No Tariff,82417.88,80.11,18.64,50,4.89
44.21,-80.86,Utility Tracker,Flat,Tariff,82417.88,81.33,18.64,50,4.89
44.21,-80.86,Utility Tracker,Time of use,No Tariff,82417.88,65.12,18.64,50,4.89
44.21,-80.86,Utility Tracker,Time of use,Tariff,82417.88,66.12,18.64,50,4.89
45.49,-74.66,Commercial,Flat,,275.42,115.88,146.51,0.2,4.89
45.49,-74.66,Commercial,Time of use,,275.42,94.14,146.51,0.2,4.89
45.49,-74.66,Community,Flat,,275.42,103.24,146.51,0.2,4.89
45.49,-74.66,Community,Time of use,,275.42,83.87,146.51,0.2,4.89
45.49,-74.66,Residential,Flat,,6.77,147.29,125.93,0.005,4.89
45.49,-74.66,Residential,Time of use,,6.77,121.79,125.93,0.005,4.89
45.49,-74.66,Utility Fixed,Flat,No Tariff,68857,89.88,18.64,50,4.89
45.49,-74.66,Utility Fixed,Flat,Tariff,68857,91.34,18.64,50,4.89
45.49,-74.66,Utility Fixed,Time of use,No Tariff,68857,73.02,18.64,50,4.89
45.49,-74.66,Utility Fixed,Time of use,Tariff,68857,74.21,18.64,50,4.89
45.49,-74.66,Utility Tracker,Flat,No Tariff,84464.75,78.31,18.64,50,4.89
45.49,-74.66,Utility Tracker,Flat,Tariff,84464.75,79.51,18.64,50,4.89
45.49,-74.66,Utility Tracker,Time of use,No Tariff,84464.75,63.55,18.64,50,4.89
45.49,-74.66,Utility Tracker,Time of use,Tariff,84464.75,64.52,18.64,50,4.89
52.32,-106.29,Commercial,Flat,,260.99,120.19,113.05,0.2,4.89
52.32,-106.29,Commercial,Time of use,,260.99,86,113.05,0.2,4.89
52.32,-106.29,Community,Flat,,260.99,108.38,113.05,0.2,4.89
52.32,-106.29,Community,Time of use,,260.99,77.55,113.05,0.2,4.89
52.32,-106.29,Residential,Flat,,6.31,157.14,165.82,0.005,4.89
52.32,-106.29,Residential,Time of use,,6.31,107.97,165.82,0.005,4.89
52.32,-106.29,Utility Fixed,Flat,No Tariff,65248.61,92.32,48.43,50,4.89
52.32,-106.29,Utility Fixed,Flat,Tariff,65248.61,124.2,48.43,50,4.89
52.32,-106.29,Utility Fixed,Time of use,No Tariff,65248.61,66.11,48.43,50,4.89
52.32,-106.29,Utility Fixed,Time of use,Tariff,65248.61,88.92,48.43,50,4.89
52.32,-106.29,Utility Tracker,Flat,No Tariff,81764.82,78.67,48.43,50,4.89
52.32,-106.29,Utility Tracker,Flat,Tariff,81764.82,103.96,48.43,50,4.89
52.32,-106.29,Utility Tracker,Time of use,No Tariff,81764.82,58,48.43,50,4.89
52.32,-106.29,Utility Tracker,Time of use,Tariff,81764.82,76.64,48.43,50,4.89
49.05,-122.41,Commercial,Flat,,234.05,147.15,87.21,0.2,4.89
49.05,-122.41,Commercial,Time of use,,234.05,118.27,87.21,0.2,4.89
49.05,-122.41,Community,Flat,,234.05,140.45,87.21,0.2,4.89
49.05,-122.41,Community,Time of use,,234.05,112.89,87.21,0.2,4.89
49.05,-122.41,Residential,Flat,,5.76,182.89,97.75,0.005,4.89
49.05,-122.41,Residential,Time of use,,5.76,151.3,97.75,0.005,4.89
49.05,-122.41,Utility Fixed,Flat,No Tariff,58512.88,117.84,47.71,50,4.89
49.05,-122.41,Utility Fixed,Flat,Tariff,58512.88,148.36,47.71,50,4.89
49.05,-122.41,Utility Fixed,Time of use,No Tariff,58512.88,94.71,47.71,50,4.89
49.05,-122.41,Utility Fixed,Time of use,Tariff,58512.88,119.24,47.71,50,4.89
49.05,-122.41,Utility Tracker,Flat,No Tariff,71993.97,101.59,47.71,50,4.89
49.05,-122.41,Utility Tracker,Flat,Tariff,71993.97,126.36,47.71,50,4.89
49.05,-122.41,Utility Tracker,Time of use,No Tariff,71993.97,81.68,47.71,50,4.89
49.05,-122.41,Utility Tracker,Time of use,Tariff,71993.97,101.6,47.71,50,4.89
50.65,-120.36,Commercial,Flat,,264.03,116.17,87.21,0.2,4.89
50.65,-120.36,Commercial,Time of use,,264.03,93.59,87.21,0.2,4.89
50.65,-120.36,Community,Flat,,264.03,110.32,87.21,0.2,4.89
50.65,-120.36,Community,Time of use,,264.03,88.88,87.21,0.2,4.89
50.65,-120.36,Residential,Flat,,6.46,149.76,97.75,0.005,4.89
50.65,-120.36,Residential,Time of use,,6.46,124.61,97.75,0.005,4.89
50.65,-120.36,Utility Fixed,Flat,No Tariff,66007.8,91.39,47.71,50,4.89
50.65,-120.36,Utility Fixed,Flat,Tariff,66007.8,117.75,47.71,50,4.89
50.65,-120.36,Utility Fixed,Time of use,No Tariff,66007.8,73.63,47.71,50,4.89
50.65,-120.36,Utility Fixed,Time of use,Tariff,66007.8,94.86,47.71,50,4.89
50.65,-120.36,Utility Tracker,Flat,No Tariff,81439.74,79.35,47.71,50,4.89
50.65,-120.36,Utility Tracker,Flat,Tariff,81439.74,100.7,47.71,50,4.89
50.65,-120.36,Utility Tracker,Time of use,No Tariff,81439.74,63.93,47.71,50,4.89
50.65,-120.36,Utility Tracker,Time of use,Tariff,81439.74,81.13,47.71,50,4.89
43.47,-80.14,Commercial,Flat,,275.8,115.7,146.51,0.2,4.18
43.47,-80.14,Commercial,Time of use,,275.8,94.31,146.51,0.2,4.18
43.47,-80.14,Community,Flat,,275.8,103.08,146.51,0.2,4.18
43.47,-80.14,Community,Time of use,,275.8,84.02,146.51,0.2,4.18
43.47,-80.14,Residential,Flat,,6.82,146.23,125.93,0.005,4.18
43.47,-80.14,Residential,Time of use,,6.82,120.24,125.93,0.005,4.18
43.47,-80.14,Utility Fixed,Flat,No Tariff,68950.11,89.74,18.64,50,4.18
43.47,-80.14,Utility Fixed,Flat,Tariff,68950.11,91.2,18.64,50,4.18
43.47,-80.14,Utility Fixed,Time of use,No Tariff,68950.11,73.15,18.64,50,4.18
43.47,-80.14,Utility Fixed,Time of use,Tariff,68950.11,74.34,18.64,50,4.18
43.47,-80.14,Utility Tracker,Flat,No Tariff,83652.64,79.02,18.64,50,4.18
43.47,-80.14,Utility Tracker,Flat,Tariff,83652.64,80.23,18.64,50,4.18
43.47,-80.14,Utility Tracker,Time of use,No Tariff,83652.64,64.32,18.64,50,4.18
43.47,-80.14,Utility Tracker,Time of use,Tariff,83652.64,65.31,18.64,50,4.18
50.74,-103.41,Commercial,Flat,,277.9,112.89,113.05,0.2,4.89
50.74,-103.41,Commercial,Time of use,,277.9,80.99,113.05,0.2,4.89
50.74,-103.41,Community,Flat,,277.9,101.8,113.05,0.2,4.89
50.74,-103.41,Community,Time of use,,277.9,73.04,113.05,0.2,4.89
50.74,-103.41,Residential,Flat,,6.76,146.64,165.82,0.005,4.89
50.74,-103.41,Residential,Time of use,,6.76,99.24,165.82,0.005,4.89
50.74,-103.41,Utility Fixed,Flat,No Tariff,69476.45,87.06,48.43,50,4.89
50.74,-103.41,Utility Fixed,Flat,Tariff,69476.45,117.05,48.43,50,4.89
50.74,-103.41,Utility Fixed,Time of use,No Tariff,69476.45,62.48,48.43,50,4.89
50.74,-103.41,Utility Fixed,Time of use,Tariff,69476.45,83.99,48.43,50,4.89
50.74,-103.41,Utility Tracker,Flat,No Tariff,87395.18,74,48.43,50,4.89
50.74,-103.41,Utility Tracker,Flat,Tariff,87395.18,97.71,48.43,50,4.89
50.74,-103.41,Utility Tracker,Time of use,No Tariff,87395.18,54.51,48.43,50,4.89
50.74,-103.41,Utility Tracker,Time of use,Tariff,87395.18,71.98,48.43,50,4.89
51.15,-110.2,Commercial,Flat,,268.74,106.98,84.13,0.2,4.95
51.15,-110.2,Commercial,Time of use,,268.74,77.68,84.13,0.2,4.95
51.15,-110.2,Community,Flat,,268.74,101.6,84.13,0.2,4.95
51.15,-110.2,Community,Time of use,,268.74,73.77,84.13,0.2,4.95
51.15,-110.2,Residential,Flat,,6.54,138.51,97.06,0.005,4.95
51.15,-110.2,Residential,Time of use,,6.54,106.97,97.06,0.005,4.95
51.15,-110.2,Utility Fixed,Flat,No Tariff,67187.42,84.44,25.98,50,4.95
51.15,-110.2,Utility Fixed,Flat,Tariff,67187.42,93.08,25.98,50,4.95
51.15,-110.2,Utility Fixed,Time of use,No Tariff,67187.42,61.31,25.98,50,4.95
51.15,-110.2,Utility Fixed,Time of use,Tariff,67187.42,67.58,25.98,50,4.95
51.15,-110.2,Utility Tracker,Flat,No Tariff,83443.37,72.8,25.98,50,4.95
51.15,-110.2,Utility Tracker,Flat,Tariff,83443.37,79.75,25.98,50,4.95
51.15,-110.2,Utility Tracker,Time of use,No Tariff,83443.37,53.96,25.98,50,4.95
51.15,-110.2,Utility Tracker,Time of use,Tariff,83443.37,59.1,25.98,50,4.95
46.72,-65.26,Commercial,Flat,,280.36,122.14,117.73,0.2,4.23
46.72,-65.26,Commercial,Time of use,,280.36,106.86,117.73,0.2,4.23
46.72,-65.26,Community,Flat,,280.36,106.56,117.73,0.2,4.23
46.72,-65.26,Community,Time of use,,280.36,93.24,117.73,0.2,4.23
46.72,-65.26,Residential,Flat,,6.83,158.34,124.32,0.005,4.23
46.72,-65.26,Residential,Time of use,,6.83,138.86,124.32,0.005,4.23
46.72,-65.26,Utility Fixed,Flat,No Tariff,70091.46,92.66,52,50,4.23
46.72,-65.26,Utility Fixed,Flat,Tariff,70091.46,138.07,52,50,4.23
46.72,-65.26,Utility Fixed,Time of use,No Tariff,70091.46,81.08,52,50,4.23
46.72,-65.26,Utility Fixed,Time of use,Tariff,70091.46,120.82,52,50,4.23
46.72,-65.26,Utility Tracker,Flat,No Tariff,85732.93,81.22,52,50,4.23
46.72,-65.26,Utility Tracker,Flat,Tariff,85732.93,118.35,52,50,4.23
46.72,-65.26,Utility Tracker,Time of use,No Tariff,85732.93,71.8,52,50,4.23
46.72,-65.26,Utility Tracker,Time of use,Tariff,85732.93,104.62,52,50,4.23
51.49,-113.5,Commercial,Flat,,261.59,109.91,84.13,0.2,4.76
51.49,-113.5,Commercial,Time of use,,261.59,79.04,84.13,0.2,4.76
51.49,-113.5,Community,Flat,,261.59,104.38,84.13,0.2,4.76
51.49,-113.5,Community,Time of use,,261.59,75.07,84.13,0.2,4.76
51.49,-113.5,Residential,Flat,,6.36,142.44,97.06,0.005,4.76
51.49,-113.5,Residential,Time of use,,6.36,109.67,97.06,0.005,4.76
51.49,-113.5,Utility Fixed,Flat,No Tariff,65397.76,86.61,25.98,50,4.76
51.49,-113.5,Utility Fixed,Flat,Tariff,65397.76,95.48,25.98,50,4.76
51.49,-113.5,Utility Fixed,Time of use,No Tariff,65397.76,62.29,25.98,50,4.76
51.49,-113.5,Utility Fixed,Time of use,Tariff,65397.76,68.67,25.98,50,4.76
51.49,-113.5,Utility Tracker,Flat,No Tariff,81406.64,74.42,25.98,50,4.76
51.49,-113.5,Utility Tracker,Flat,Tariff,81406.64,81.54,25.98,50,4.76
51.49,-113.5,Utility Tracker,Time of use,No Tariff,81406.64,54.76,25.98,50,4.76
51.49,-113.5,Utility Tracker,Time of use,Tariff,81406.64,59.99,25.98,50,4.76
44.54,-77.32,Commercial,Flat,,285.64,111.73,146.51,0.2,4.37
44.54,-77.32,Commercial,Time of use,,285.64,90.95,146.51,0.2,4.37
44.54,-77.32,Community,Flat,,285.64,99.54,146.51,0.2,4.37
44.54,-77.32,Community,Time of use,,285.64,81.03,146.51,0.2,4.37
44.54,-77.32,Residential,Flat,,7.04,141.66,125.93,0.005,4.37
44.54,-77.32,Residential,Time of use,,7.04,116.69,125.93,0.005,4.37
44.54,-77.32,Utility Fixed,Flat,No Tariff,71411.37,86.8,18.64,50,4.37
44.54,-77.32,Utility Fixed,Flat,Tariff,71411.37,88.22,18.64,50,4.37
44.54,-77.32,Utility Fixed,Time of use,No Tariff,71411.37,70.66,18.64,50,4.37
44.54,-77.32,Utility Fixed,Time of use,Tariff,71411.37,71.81,18.64,50,4.37
44.54,-77.32,Utility Tracker,Flat,No Tariff,87203.84,75.98,18.64,50,4.37
44.54,-77.32,Utility Tracker,Flat,Tariff,87203.84,77.14,18.64,50,4.37
44.54,-77.32,Utility Tracker,Time of use,No Tariff,87203.84,61.77,18.64,50,4.37
44.54,-77.32,Utility Tracker,Time of use,Tariff,87203.84,62.71,18.64,50,4.37
45.74,-66.95,Commercial,Flat,,279.74,122.43,117.73,0.2,4.18
45.74,-66.95,Commercial,Time of use,,279.74,106.87,117.73,0.2,4.18
45.74,-66.95,Community,Flat,,279.74,106.82,117.73,0.2,4.18
45.74,-66.95,Community,Time of use,,279.74,93.24,117.73,0.2,4.18
45.74,-66.95,Residential,Flat,,6.84,158.21,124.32,0.005,4.18
45.74,-66.95,Residential,Time of use,,6.84,138.4,124.32,0.005,4.18
45.74,-66.95,Utility Fixed,Flat,No Tariff,69937,92.87,52,50,4.18
45.74,-66.95,Utility Fixed,Flat,Tariff,69937,138.39,52,50,4.18
45.74,-66.95,Utility Fixed,Time of use,No Tariff,69937,81.08,52,50,4.18
45.74,-66.95,Utility Fixed,Time of use,Tariff,69937,120.82,52,50,4.18
45.74,-66.95,Utility Tracker,Flat,No Tariff,85698.5,81.27,52,50,4.18
45.74,-66.95,Utility Tracker,Flat,Tariff,85698.5,118.43,52,50,4.18
45.74,-66.95,Utility Tracker,Time of use,No Tariff,85698.5,71.54,52,50,4.18
45.74,-66.95,Utility Tracker,Time of use,Tariff,85698.5,104.25,52,50,4.18
45.65,-72.56,Commercial,Flat,,273.34,115.04,85.79,0.2,4.26
45.65,-72.56,Commercial,Time of use,,273.34,93.2,85.79,0.2,4.26
45.65,-72.56,Community,Flat,,273.34,100.5,85.79,0.2,4.26
45.65,-72.56,Community,Time of use,,273.34,81.42,85.79,0.2,4.26
45.65,-72.56,Residential,Flat,,6.71,147.77,67.95,0.005,4.26
45.65,-72.56,Residential,Time of use,,6.71,121.56,67.95,0.005,4.26
45.65,-72.56,Utility Fixed,Flat,No Tariff,68335.54,88.05,32.7,50,4.26
45.65,-72.56,Utility Fixed,Flat,Tariff,68335.54,152.92,32.7,50,4.26
45.65,-72.56,Utility Fixed,Time of use,No Tariff,68335.54,71.33,32.7,50,4.26
45.65,-72.56,Utility Fixed,Time of use,Tariff,68335.54,123.88,32.7,50,4.26
45.65,-72.56,Utility Tracker,Flat,No Tariff,82885.54,77.75,32.7,50,4.26
45.65,-72.56,Utility Tracker,Flat,Tariff,82885.54,131.19,32.7,50,4.26
45.65,-72.56,Utility Tracker,Time of use,No Tariff,82885.54,62.96,32.7,50,4.26
45.65,-72.56,Utility Tracker,Time of use,Tariff,82885.54,106.23,32.7,50,4.26
50.96,-119.68,Commercial,Flat,,242.81,128.72,87.21,0.2,4.13
50.96,-119.68,Commercial,Time of use,,242.81,103.73,87.21,0.2,4.13
50.96,-119.68,Community,Flat,,242.81,122.35,87.21,0.2,4.13
50.96,-119.68,Community,Time of use,,242.81,98.6,87.21,0.2,4.13
50.96,-119.68,Residential,Flat,,5.96,164.53,97.75,0.005,4.13
50.96,-119.68,Residential,Time of use,,5.96,136.88,97.75,0.005,4.13
50.96,-119.68,Utility Fixed,Flat,No Tariff,60704.13,101.28,47.71,50,4.13
50.96,-119.68,Utility Fixed,Flat,Tariff,60704.13,130.04,47.71,50,4.13
50.96,-119.68,Utility Fixed,Time of use,No Tariff,60704.13,81.62,47.71,50,4.13
50.96,-119.68,Utility Fixed,Time of use,Tariff,60704.13,104.79,47.71,50,4.13
50.96,-119.68,Utility Tracker,Flat,No Tariff,74675.08,88,47.71,50,4.13
50.96,-119.68,Utility Tracker,Flat,Tariff,74675.08,111.34,47.71,50,4.13
50.96,-119.68,Utility Tracker,Time of use,No Tariff,74675.08,70.93,47.71,50,4.13
50.96,-119.68,Utility Tracker,Time of use,Tariff,74675.08,89.74,47.71,50,4.13
49.71,-108.01,Commercial,Flat,,283.82,110.54,113.05,0.2,4.98
49.71,-108.01,Commercial,Time of use,,283.82,78.89,113.05,0.2,4.98
49.71,-108.01,Community,Flat,,283.82,99.68,113.05,0.2,4.98
49.71,-108.01,Community,Time of use,,283.82,71.14,113.05,0.2,4.98
49.71,-108.01,Residential,Flat,,6.9,143.56,165.82,0.005,4.98
